Time,yaw,pitch,roll,magx,magy,magz,accelx,accely,accelz,gyrox,gyroy,gyroz
34.8622829914093,-106.336,-62.424,5.386,0.3545,0.273,0.2274,-8.77,-0.31,-4.372,0.042273,-0.069149,-0.049419
34.997275829315186,-106.425,-63.396,5.257,0.3543,0.2621,0.2276,-9.092,-0.441,-4.043,-0.03989,-0.062127,0.020903
35.138972997665405,-105.585,-63.726,4.427,0.3596,0.2656,0.2199,-7.222,-0.744,-4.397,0.018542,-0.247546,0.144817
35.33129382133484,-105.445,-65.553,4.0,0.3652,0.2558,0.2142,-8.989,-0.163,-3.995,-0.00902,0.016636,-0.004572
35.52962684631348,-105.548,-64.657,4.33,0.3622,0.2607,0.2179,-8.828,-0.45,-4.073,0.023112,0.069107,-0.003294
35.71423888206482,-105.601,-64.222,4.559,0.3621,0.2583,0.2179,-8.828,-0.376,-4.187,-0.014031,0.006981,-0.011569
35.85031700134277,-105.763,-64.061,4.631,0.3612,0.262,0.2244,-8.786,-0.417,-4.13,-0.010789,0.047656,-0.015778
35.95476579666138,-106.145,-63.418,4.914,0.359,0.2584,0.2217,-8.888,-0.212,-4.334,-0.001384,0.198495,-0.067401
36.088841915130615,-106.278,-60.43,5.458,0.3476,0.267,0.2381,-8.177,-0.647,-4.7,0.114695,0.602862,-0.025706
36.22556400299072,-106.042,-55.024,6.179,0.3225,0.2735,0.2657,-8.178,-0.658,-5.438,0.119004,0.711171,-0.071298
36.322916984558105,-105.991,-51.553,6.642,0.3111,0.2846,0.2781,-7.834,-0.781,-5.673,0.111267,0.93572,-0.096111
36.45789384841919,-104.502,-42.376,6.47,0.2662,0.2795,0.3171,-6.238,-1.0,-6.99,0.085572,1.171597,0.040162
36.59389090538025,-102.921,-33.987,5.884,0.2219,0.2814,0.3437,-5.708,-0.803,-7.761,0.049852,1.308189,0.032663
36.73088097572327,-100.72,-23.52,5.549,0.1645,0.2783,0.3809,-3.669,-0.937,-8.751,0.073028,1.052498,0.161113
36.91854786872864,-98.943,-13.959,5.652,0.1103,0.2754,0.3939,-2.337,-0.932,-9.319,0.135737,1.025283,-0.029465
37.0563268661499,-98.32,-5.482,7.145,0.0551,0.2866,0.3984,-0.815,-1.292,-9.528,0.17795,0.916973,-0.055564
37.19102478027344,-97.815,1.273,8.347,0.0073,0.2931,0.3906,0.28,-1.521,-9.61,0.169455,1.006999,-0.038779
37.29167199134827,-97.194,6.793,9.158,-0.0267,0.2995,0.3874,1.077,-1.479,-9.418,0.10728,0.938399,-0.055347
37.479076862335205,-96.413,15.869,9.792,-0.0866,0.2942,0.3675,2.593,-1.674,-9.02,-0.003959,0.788386,-0.11087
37.714725971221924,-95.862,27.257,9.859,-0.1521,0.2804,0.3461,4.843,-1.6,-8.585,0.004719,0.736806,-0.013163
37.909074783325195,-94.971,32.533,9.552,-0.1843,0.2806,0.33,5.109,-1.399,-8.017,-0.05305,0.447796,-0.018324
38.0997519493103,-93.924,38.13,9.926,-0.2118,0.2669,0.3071,6.229,-1.516,-7.407,0.065052,0.58311,0.040913
38.29056692123413,-91.91,44.037,11.606,-0.2376,0.2718,0.2847,6.803,-1.381,-6.388,-0.051546,0.552295,-0.03642
38.47887587547302,-90.89,50.133,12.042,-0.2659,0.2671,0.2531,7.894,-0.439,-6.418,-0.01632,0.535298,-0.106008
38.582435846328735,-90.729,52.815,12.554,-0.2769,0.26,0.237,7.925,-1.319,-5.81,0.098809,0.435257,-0.071825
38.7679979801178,-89.676,56.5,14.156,-0.2925,0.2632,0.2183,8.318,-1.345,-5.217,-0.001438,0.34952,-0.028327
38.96021389961243,-89.089,58.936,14.481,-0.2993,0.2548,0.2063,8.457,-1.309,-4.9,-0.021839,0.172577,-0.015175
39.14953398704529,-88.56,61.09,14.431,-0.3059,0.2536,0.1928,8.45,-1.143,-4.313,-0.004513,0.150776,-0.018589
39.293447971343994,-87.735,62.237,15.09,-0.3083,0.2463,0.1863,8.557,-1.198,-4.413,0.004364,0.201971,0.002946
39.43106389045715,-86.075,63.912,16.746,-0.3116,0.2475,0.1769,8.809,-1.235,-4.111,0.014879,0.166791,0.022462
39.572250843048096,-85.566,64.348,17.276,-0.3148,0.2547,0.1713,8.874,-1.335,-3.983,0.000608,-0.015955,-0.000549
39.706976890563965,-85.493,64.27,17.327,-0.3139,0.2487,0.1689,8.822,-1.305,-4.013,0.003013,-0.009344,0.006862
